,C_y,A_x,C♯_z,D_y,C_y,C_z,C♯_x,C♯_z,D_y,D♯_y,E_x,E_y,E_z,F_x,F_y,F_z,F♯_x,F♯_y,F♯_z,G_x,G_z,G♯_x,G♯_y,G♯_z,A_x,A_y,A_z,A♯_y,A♯_z,B_x,B_y,B_z
0,0.4290907539890949,0.5032604916169352,0.5214664029817989,0.7207040296936745,0.4290907539890949,0.4097683490754031,0.4116040060307068,0.5214664029817989,0.7207040296936745,0.8918920121373587,0.4749326592492127,0.5609981383079338,0.5915742879457534,0.5463306885974334,0.6493893404723411,0.7118097874991861,0.7890201924881226,0.9090152184946168,0.8957089402417386,0.9953549419593276,0.4758851238784474,0.5056004344573752,0.4775874184571325,0.412150742191358,0.5032604916169352,0.6100243520877507,0.787680930886698,0.9138793196091638,0.8978908036584597,0.9424997463388568,0.9239302392505468,0.7945078678230493
1,0.4375573737665795,0.3523451315855181,0.5538450933306716,0.7187527046679358,0.4375573737665795,0.4444102227717843,0.5396073896939811,0.5538450933306716,0.7187527046679358,0.9577350912617222,0.3874071975212089,0.3980446234215038,0.4892422082270555,0.4967564175322427,0.4707023978458047,0.5590821694793787,0.5874578417423754,0.7510106441052833,0.8318692411419716,0.98414981643892,0.4216789522929937,0.3346761884642111,0.413938353779854,0.2624832160544253,0.3523451315855181,0.5330613052158463,0.4310697735293611,0.6777149117411162,0.8858216498684506,0.947998285368847,0.940948199023366,0.7800740417861429
2,0.4636430958789104,0.3093803679121958,0.4940371211559614,0.7308858488158423,0.4636430958789104,0.4742689491339037,0.4151432534462315,0.4940371211559614,0.7308858488158423,1.0,0.3906770844887033,0.4502027095586691,0.4763020472148538,0.4159762667000453,0.4946636047485354,0.5830507311192673,0.5915592576877756,0.7673882100668532,0.806707985506899,0.9850291489292934,0.539653354072135,0.4574487449053852,0.4350248933506238,0.3121428129081481,0.3093803679121958,0.4979303745019592,0.4636636166237929,0.6908539762477872,0.9885400931244354,0.9085359422000806,0.9383086855269764,0.8759836574075971
3,0.3773292184633934,0.2410865617363567,0.4405223106463764,0.5856225627173168,0.3773292184633934,0.3720947530331832,0.3832744268601636,0.4405223106463764,0.5856225627173168,0.7995200030523358,0.345665824931078,0.4144423977553252,0.4702435756017671,0.345971632054435,0.4445796056350736,0.5323275908762396,0.6282528133597628,0.6719962562730438,0.7562424227279149,0.946797092267595,0.5203289702745388,0.4443907663015512,0.2929621380074642,0.1867128834782544,0.2410865617363567,0.2380318959823471,0.5274385876736315,0.7426458809883418,1.0,1.0,0.991453930871228,0.9247223450348216
4,0.4074585574437447,0.2212652391837516,0.5077722344608494,0.6726240880081497,0.4074585574437447,0.4011635384640665,0.421275493798065,0.5077722344608494,0.6726240880081497,0.901343053123942,0.3543137789530317,0.4080231862772234,0.4129476157761027,0.4293712345578691,0.4786295262563989,0.5427730811469395,0.618792038944585,0.6916960831120297,0.7180641890054021,0.961826132060944,0.52291241273962,0.4650865466874245,0.3538169316625422,0.228943018170533,0.2212652391837516,0.3071338785578447,0.412410568934783,0.6643408417490959,1.0,0.995221073590122,0.9719665076478377,0.8961999230204544
5,0.4000736341175035,0.308580474549691,0.569711212570989,0.6114468702182121,0.4000736341175035,0.4595485310468283,0.4307030426410032,0.569711212570989,0.6114468702182121,0.95024142020914,0.4419792238424158,0.4517265529675159,0.4115946437017965,0.4272876602335005,0.5184470191594945,0.5655033606274544,0.6851954714165164,0.7966265135841476,0.8774683198204524,0.9539050541931418,0.6216198315800606,0.5548222312474584,0.4151003811620661,0.3051424169818215,0.308580474549691,0.3326312078658066,0.5577372192048776,0.6763818372222969,0.98232778691135,0.9324989487629124,0.9602818524697918,0.9167538820223634
6,0.420637921106862,0.4541142242380067,0.6196022391904116,0.7006884255514453,0.420637921106862,0.3975432104054886,0.4603059695981165,0.6196022391904116,0.7006884255514453,0.966026076983298,0.4630881471039902,0.5143597395743515,0.4925589838620626,0.5008368224493029,0.5929612351622473,0.6766863020281647,0.6992721156252643,0.7055550307658437,0.8398446336043662,0.9766341824317378,0.6484564378387393,0.5457960459641102,0.4932207339653828,0.3618297235246778,0.4541142242380067,0.4550590038712848,0.5407773439843354,0.828824837675232,0.9665827094737648,0.9760446258549068,0.979828241536492,0.9155220090163696
7,0.4298340108339681,0.2558100183223415,0.505828625992221,0.5784224103399688,0.4298340108339681,0.4459612742050606,0.440744183960204,0.505828625992221,0.5784224103399688,0.9676113789718684,0.4022440574911652,0.4124329830219169,0.447475238190239,0.3841329236769108,0.4967722697795924,0.5470224807828338,0.6491920929691782,0.7704149975593174,0.8254918097169753,0.9618094600463984,0.5088216073222314,0.4245172960001172,0.34425192834288,0.2197026204161457,0.2558100183223415,0.3407777433885632,0.4210742910430001,0.6811263357488003,1.0,0.9558658456852116,0.929011498819413,0.8832071592311946
8,0.3932209325113114,0.3377621634041443,0.5602836755324311,0.6632158076923242,0.3932209325113114,0.3629101897682843,0.4745941532430917,0.5602836755324311,0.6632158076923242,0.919372353875064,0.4378102127398963,0.4703826386744032,0.3923322581372018,0.432487216678155,0.5611752552793304,0.5676535074379484,0.6110537217109223,0.6583352864094496,0.749196380454105,0.9004518509264087,0.5421700297391052,0.5538766479078805,0.4198281406324423,0.2832852413862858,0.3377621634041443,0.4244935253539373,0.5701910753661402,0.7323557079168769,1.0,0.9567988657930536,0.9758800532482048,0.8886532313995503
9,0.4193012858342695,0.2953192092839808,0.5534694486278343,0.6543080968253294,0.4193012858342695,0.439195464931664,0.4993913056123518,0.5534694486278343,0.6543080968253294,0.9206890016085368,0.4229161739120308,0.4734255862057617,0.4973635401873738,0.4594717071478366,0.5100061338696819,0.5792519335728689,0.6693442967480184,0.7838063842016503,0.83220556924551,1.0,0.5653668863626368,0.4680360781559438,0.3954111849142713,0.258483202201583,0.2953192092839808,0.3984157577168336,0.3797468386413355,0.6598891770804967,0.997419481614082,0.9960222208499746,0.8814454950281507,0.8079755969311314
