,tempogram_x256,tempogram_y256,tempogram_z320,tempogram_y320,tempogram_x320,tempogram_z319,tempogram_y318,tempogram_z318,tempogram_x319,tempogram_y319,tempogram_z255
0,0.4760220582438264,0.445113431410193,1.9782665232126395e-09,2.0620695515010344e-08,9.183200855944229e-08,2.766099588653855e-07,4.3834007638451125e-06,2.5498552008246027e-06,1.3712455837477083e-06,6.63590314327826e-07,0.618048976687909
1,0.5536342181957422,0.5386190344498444,2.086169776477122e-09,2.16621775244287e-08,9.600761285809365e-08,2.88279302506201e-07,4.5729974279573405e-06,2.655964964730873e-06,1.426979331669046e-06,6.905931031303651e-07,0.6548349278814513
2,0.631292448249297,0.6080947551505681,2.098637683045147e-09,2.1916103393057062e-08,9.77878537825502e-08,2.947367704365012e-07,4.662582086513114e-06,2.711798215114639e-06,1.4590853752108552e-06,7.067081182895572e-07,0.7413033535006729
3,0.7214561108409379,0.7157909363076685,2.0255860368009927e-09,2.105368757130157e-08,9.338860367907148e-08,2.804589916435839e-07,4.458300088040426e-06,2.5853573963259403e-06,1.3880933653852876e-06,6.717521478060897e-07,0.788690237423977
4,0.7674887852424518,0.7671207279903861,1.9326859043983648e-09,2.0066461563380705e-08,8.889795044791242e-08,2.6684152279560337e-07,4.267310189280015e-06,2.4687956196603163e-06,1.322953993761652e-06,6.394051026023274e-07,0.8196132836841997
5,0.8693596124711441,0.8673950295082303,1.5346953119816124e-09,1.6033186373916903e-08,7.161814824041347e-08,2.1644819856060474e-07,3.5394634517689427e-06,2.035291199838848e-06,1.0846296646375475e-06,5.215052533644689e-07,0.9054968639105953
6,0.6282321126709919,0.6307891885103246,2.142446951448745e-09,2.2198986254796445e-08,9.801654340500075e-08,2.930087308840276e-07,4.59347302719223e-06,2.67203555063608e-06,1.4392603284825674e-06,6.989712446541794e-07,0.7134640422369746
7,0.6064826497529584,0.6135969042173971,2.1440133231616942e-09,2.214707042948449e-08,9.744158538102885e-08,2.9076204566319265e-07,4.571934420987126e-06,2.656055759655126e-06,1.4289125892636365e-06,6.934223743047912e-07,0.6804033140853907
8,0.5305932045046968,0.4957873581098014,1.9305114848187574e-09,2.02001563319684e-08,9.048668257982463e-08,2.742857010230764e-07,4.447977759234841e-06,2.5745766471206696e-06,1.376827544832344e-06,6.62233501777739e-07,0.6613283380146663
9,0.5570518765105805,0.527727147178212,2.1203425432205606e-09,2.2107937590275968e-08,9.845281606604173e-08,2.963508071695374e-07,4.667576724065979e-06,2.7189332522676872e-06,1.4646712855432076e-06,7.100231660374751e-07,0.6824271142079609
10,0.5870723051011,0.5789166591148514,2.1496252287712073e-09,2.2327370215135272e-08,9.888791345544487e-08,2.962024572895366e-07,4.633747390774304e-06,2.69928776914864e-06,1.4554193942394388e-06,7.070663422716935e-07,0.6933994517487152
11,0.4186345440652626,0.3671636433344813,1.853036573876756e-09,1.939078308490284e-08,8.678167235947725e-08,2.6228590607992066e-07,4.157254059496729e-06,2.421252043515403e-06,1.3028974479128932e-06,6.303076046511461e-07,0.6000503001947356
12,0.5796577639168722,0.5696460168838181,2.051321764505889e-09,2.130861534687881e-08,9.454499487802806e-08,2.845216000828832e-07,4.572854186989884e-06,2.647841948416656e-06,1.4178514128848967e-06,6.837800083068107e-07,0.667707517688875
13,0.5333628385188858,0.5125114043009279,2.003207465817411e-09,2.0812457376682435e-08,9.2365995389577e-08,2.779510779211287e-07,4.450068487088325e-06,2.57999898655624e-06,1.3830755646148498e-06,6.676147135593284e-07,0.6343833103336506
14,0.627384972209753,0.602663754047453,2.0540059326502353e-09,2.1505626984571567e-08,9.635772486611976e-08,2.918518439050771e-07,4.708745003980202e-06,2.727202509842581e-06,1.4602719572427923e-06,7.035388086566751e-07,0.7369392518341683
15,0.5033447228881743,0.4563975808330513,1.9590615940614348e-09,2.0447259954374763e-08,9.128604674858172e-08,2.7586676249213975e-07,4.4179261329717255e-06,2.5649134530453656e-06,1.376045010742991e-06,6.639939166635577e-07,0.6354330492545807
16,0.5769398037544424,0.571153220253727,2.1642548730648243e-09,2.2408179394190408e-08,9.885507799062945e-08,2.9530900379444453e-07,4.606331001051814e-06,2.683776352480137e-06,1.447608674819277e-06,7.038375723607198e-07,0.6718693075255766
17,0.7115679136614765,0.7039073352304501,2.0008064455978254e-09,2.0915742549115952e-08,9.347260801998229e-08,2.8235173249142164e-07,4.541455422779719e-06,2.628832161572645e-06,1.408009202178668e-06,6.791960128927473e-07,0.7945256698692709
18,0.747587277999417,0.7475754983594028,1.924246066610033e-09,2.0137667908356374e-08,9.018064847447961e-08,2.7325666798389535e-07,4.481944239634219e-06,2.581339390559188e-06,1.3753748996128826e-06,6.601302380233752e-07,0.8162578594520905
19,0.5792250905125758,0.5515591874538753,2.084936755295641e-09,2.1787938294791377e-08,9.734680905677147e-08,2.939788830394862e-07,4.686878417205392e-06,2.7225071819721e-06,1.4621601876210664e-06,7.065773922689706e-07,0.70141091210325
20,0.4135440276463097,0.3792191056596719,1.987762366133144e-09,2.077570015921348e-08,9.272899325295605e-08,2.790867587734264e-07,4.347529062330717e-06,2.5409972911094937e-06,1.3730803113932336e-06,6.674183766976366e-07,0.6056871824682329
21,0.5725241074654425,0.5577079748511772,2.140001243992203e-09,2.222427137203539e-08,9.845513444667389e-08,2.951651606621174e-07,4.63460496933369e-06,2.698053304590833e-06,1.4534790355574629e-06,7.053728021181143e-07,0.6779473555351371
22,0.6358124542556302,0.6088922191224058,2.0434250657971722e-09,2.143352243598916e-08,9.625140024423825e-08,2.919896831425016e-07,4.717865956358474e-06,2.732431045202579e-06,1.462865483630238e-06,7.045000975347916e-07,0.7492110584939318
23,0.4717883217449258,0.4196523214765335,1.952215645309635e-09,2.042628875396105e-08,9.142941027490312e-08,2.764937658387459e-07,4.3990184499200455e-06,2.5589904913172747e-06,1.3755792552394764e-06,6.649016633816578e-07,0.6330287382579081
24,0.6430210910017423,0.6381520059352046,2.0903421585819582e-09,2.1724982446592912e-08,9.641305732929938e-08,2.899776053007876e-07,4.647812295337806e-06,2.6916085913854903e-06,1.4421564552483867e-06,6.961759152841393e-07,0.7224806280017422
25,0.7207821384496744,0.7258931566786196,2.0135343540240313e-09,2.0878095155628573e-08,9.244949929882105e-08,2.78130092403334e-07,4.531400025808771e-06,2.611251070785567e-06,1.392492425026724e-06,6.694792465488002e-07,0.7684133996433055
26,0.6699675594612686,0.6689191454433566,2.039730135635334e-09,2.1282602033292132e-08,9.492733616806705e-08,2.8663251741356896e-07,4.64363063846093e-06,2.683019129414673e-06,1.433957354807735e-06,6.903129714716953e-07,0.7540399254193247
27,0.0179415805547614,0.0070896726216002,2.329445978608443e-10,2.429719225229442e-09,1.0790439048776416e-08,3.220296808490567e-08,4.8064149812793e-07,2.841111855594919e-07,1.5522138220267205e-07,7.62513031232184e-08,0.371767935860014
28,0.0035726832726751,0.0043989414817669,1.5075287626540017e-17,4.3085592025880234e-18,-2.019106111347575e-18,1.2875192364451074e-18,4.6630846695195195e-18,-1.5808942113655326e-19,-6.524500501544302e-18,-4.204111676881391e-18,0.0886259078883174
29,0.7721783281300252,0.7635428183708864,1.919667684381109e-09,1.9862007839950112e-08,8.752384615364084e-08,2.61153743401039e-07,4.06510242435722e-06,2.366366501661609e-06,1.2768459531134185e-06,6.215611972205682e-07,0.8246765511666475
30,0.5396516537534223,0.5263096758789497,2.151243514427475e-09,2.2334114735858943e-08,9.885624294676415e-08,2.959048626945896e-07,4.607361451045599e-06,2.687823860249698e-06,1.451125339049548e-06,7.057512060573996e-07,0.6583110044546859
31,0.5072360979174596,0.5187678998276369,1.956108450493297e-09,2.039644821487216e-08,9.08454934857097e-08,2.737051286846348e-07,4.390370155036702e-06,2.5438743749657733e-06,1.362998973415246e-06,6.576682904286487e-07,0.6382055998861478
32,0.6634425042820719,0.6468502025298729,2.0342641377463293e-09,2.1269943061128253e-08,9.516812753484397e-08,2.881898460043175e-07,4.684450419948742e-06,2.7066768985068185e-06,1.446036378139898e-06,6.954085100035254e-07,0.7537742921574689
