,C_z,C♯_z,D_z,D♯_z,E_z,F_z,F♯_z,G_z,G♯_z,A_z,A♯_z,B_z
0,0.7502001076382411,0.7423047690714126,0.6336297006472391,0.6228672830030559,0.5648797729143942,0.5447850536516223,0.4826415910361405,0.4689543552644792,0.5325276069326224,0.7415802482267506,0.8552709106106936,1.0
1,0.8531885929428499,0.8558427357802488,0.8445484680411287,0.8674382534136305,0.7528470668424796,0.6016791944476932,0.5596075624317635,0.5188998543612523,0.5830902893549195,0.7684026171361086,0.9384810391207505,0.9815222463289156
2,0.8497838223741678,0.7510477496067537,0.7108307037897065,0.5915876249530458,0.5327344593742216,0.5243998036969347,0.47639742829037096,0.44813241015498245,0.4935877476428325,0.6817534517581114,0.913051145440118,1.0
3,0.747486494554869,0.6883250956222932,0.676742154249279,0.5872785351783097,0.5435664210013725,0.5358612175165635,0.47617070503209574,0.48502622625329755,0.5600949050275569,0.7141233534335969,0.8486339746022091,1.0
4,0.8019789984293552,0.8796931387502028,0.7177157807258858,0.6166567520129148,0.5309581656299539,0.40594092360381134,0.45404067026611905,0.4544066131681927,0.5289250111711794,0.7658738092350116,0.8377744914532981,0.9992759277748121
5,0.859060581833933,0.8474578191769702,0.7934954740051304,0.7010178019440437,0.6684528045376297,0.5113520902369442,0.5065121903434336,0.524321757001447,0.6320657252038346,0.7902202584171848,0.901893363739204,1.0
6,0.7753891445523378,0.8280150194946353,0.7539713689741623,0.6140482417696022,0.5484651183094056,0.47844774834852927,0.5464050507241885,0.4832895807845938,0.5619073169302378,0.7646544430104752,0.9041689532612628,0.9769582183569184
7,0.9115282846541389,0.9544095622859851,0.7814236028741459,0.6977299305785296,0.6430404851120852,0.5285270249518288,0.5182421471463713,0.5036100908887856,0.5765469050983792,0.7454236933258591,0.8484811784552099,0.9590691460073585
8,0.8782133802175638,0.8831576552099003,0.8031634190237661,0.648444888255902,0.6359194862059018,0.4772934622628115,0.4701371212787338,0.42582438849921905,0.5249754124395559,0.7280023742679265,0.8805274629421925,0.8981389665362457
9,0.7944225148663109,0.8759214989177907,0.8286318459326738,0.6924887554600634,0.6414286247754957,0.5102529891340841,0.546758866894659,0.4808496081518013,0.5651421477121555,0.7516086162809134,0.8936996333443757,0.9947819887813276
10,0.8569086204489363,0.8245001935482152,0.7430927281831327,0.6401629798588923,0.6006606737506651,0.5082857453100643,0.528993044879218,0.5613700995017074,0.642917412169953,0.8306804454661969,0.8761221872749344,1.0
11,0.8357031502456028,0.8695756609615465,0.8041274642718971,0.6400149503234198,0.598066920910992,0.5350529807835781,0.5863752856871783,0.5165065325977877,0.5663810668093777,0.7163762242058804,0.8893408077472195,0.9492817728390671
12,0.7834960086893356,0.8164067523294462,0.6744839837109252,0.6285965515037285,0.6056488364058131,0.5378765373656259,0.49263404684858975,0.5217282653006259,0.5444099116242135,0.7234847001806634,0.8639479452436913,1.0
13,0.7904036707240364,0.7851780964875866,0.7192222293317222,0.5884615318814758,0.5886840405742033,0.5033251265817409,0.5301691489886053,0.539051988958163,0.532529901940704,0.7615215428528849,0.8450383081652485,0.9786137383668025
14,0.8176340867317206,0.8913780964633444,0.7600702870569177,0.6741326665808011,0.5577517564257417,0.49110323760548685,0.5211684359024105,0.5218443908463529,0.5633090771725437,0.7214074480579223,0.8513636141455967,0.9898731872660917
15,0.8284850801367543,0.8348896318839708,0.7353238460911654,0.6632495111098159,0.6235225773158746,0.5400043759636804,0.530854536210222,0.5304734135248294,0.567909807969534,0.7630804886922175,0.917801735564795,0.9993762319741358
16,0.8777909629061241,0.9443510111210007,0.8572467059805171,0.673550715070221,0.5888601719357156,0.5352207371211339,0.49666257407929276,0.48308534781583573,0.5404465328441218,0.7380006076921873,0.8741474784073846,0.9713261114690873
17,0.8098244663462072,0.8982105947269127,0.7140381989259131,0.6276417761785997,0.5438435775507391,0.5124079716745916,0.4661185789319875,0.47352255278843663,0.4784880500943003,0.7056033988230239,0.9095449124808187,0.9274729708524411
18,0.863303996578431,0.8968039084433318,0.7895820309370315,0.6785501493235021,0.5750598721549962,0.5604721446314057,0.5366073580846605,0.581411133391259,0.6062863807204497,0.7902308513284978,0.9674281470254825,0.9895914918255383
19,0.8038093816274268,0.8510730317620361,0.7359984930384261,0.6698530470668231,0.6238053830134551,0.47549803934761153,0.47297093021490655,0.4706595368915532,0.5118049874039614,0.7256699860530893,0.8258943892118692,1.0
20,0.8036932804541531,0.8225064500123042,0.736043361881419,0.6255435786008349,0.5967982087674965,0.5276022470149881,0.5421011373380858,0.5334066276379237,0.5363244407547604,0.6791888084429164,0.7974011689558349,1.0
21,0.8290843606612083,0.8449945251070249,0.7854506000202907,0.6969192399722902,0.5631768309655396,0.4435072881813604,0.504277762748038,0.5443968919780446,0.621123630625202,0.7204680757126113,0.7963163834024289,1.0
22,0.7740156162225187,0.7988428968917137,0.7383404477127752,0.6774788921034487,0.5339278199404228,0.5185053074177908,0.5303569159596181,0.4717835559286285,0.5440767671174868,0.671999662503287,0.8624010347626302,0.9954195051377069
23,0.8462637616374941,0.8627012020643093,0.7739346537532951,0.6431977394239548,0.5810528595824005,0.5291058780120727,0.5406317540532005,0.5022056947199992,0.6111044954603625,0.6425336689834306,0.8166148187875141,0.9984167733085968
24,0.8878614621886082,0.8904110492820765,0.8367601671963483,0.6704088967384926,0.61399357114433,0.5343475425474614,0.5187373793130927,0.5342515147738077,0.5783203954403837,0.6879233641855854,0.8793429062912675,0.9824443637111169
25,0.8613414974041064,0.9379081454110011,0.7559580333910799,0.6733498401096321,0.6921737108854299,0.5084158470080503,0.5494138775234453,0.5436172512659343,0.5757887297631702,0.7432484985895678,0.9538151438907722,0.9484816806935544
26,0.7803152895057104,0.841280594288235,0.8309269705512659,0.7166672351664102,0.6002172425763046,0.5406298548765373,0.5313565058714902,0.49510910937698926,0.5778976270201157,0.7819650791242876,0.9642734630325845,0.989802784235564
27,0.8069534183602031,0.884132155307764,0.7030113754267622,0.6210677249514248,0.5348937120614243,0.5039530365063195,0.477854706936818,0.44745605838453645,0.5790285112142128,0.7397178562436414,0.8946319266786328,0.9807991467108387
28,0.8133956995450607,0.8674181919769349,0.7680314761759376,0.7183818391000939,0.5314725993992486,0.5183085151258372,0.5115015972075441,0.5217765643124667,0.6154882610684204,0.7098563972525446,0.8579451704455079,0.9686230900949843
29,0.7688417202756092,0.7426650536227276,0.7071403118745359,0.6529215289683784,0.5744894479915786,0.42899332041794375,0.48313094261100215,0.4972453858321407,0.549212585670407,0.7013637788956798,0.8839906930676746,0.9935071373699048
