,tempogram_z1,tempogram_z0,tempogram_z1,tempogram_z4,tempogram_z5,tempogram_z6,tempogram_z7,tempogram_z8,tempogram_z9,tempogram_z10,tempogram_z11
0,0.6557764931512137,1.0,0.6557764931512137,0.4785646425231264,0.465403316474745,0.4604039243979988,0.4553843164966213,0.4503459605945669,0.4452903208167288,0.4402188570411952,0.4351330243553089
1,0.6986214599137976,1.0,0.6986214599137976,0.5021855908708527,0.5113001583209943,0.50571243998243,0.5001041665694763,0.4944769666347526,0.4888324638932392,0.4831722766172872,0.4774980170361161
2,0.7235202117268472,1.0,0.7235202117268472,0.6286245319159501,0.6261502745929344,0.6191217515676137,0.6120712168146749,0.6050006967217354,0.5979122102697313,0.5908077682853496,0.5836893726995439
3,0.6834455192196379,1.0,0.6834455192196379,0.5123234026713596,0.5080833106452066,0.5025453841590753,0.4969867708644349,0.4914090867148961,0.4858139429784973,0.4802029456369718,0.4745776947894255
4,0.7216802023634551,1.0,0.7216802023634551,0.5943075942875159,0.5813728561949724,0.5749438112564481,0.5684926621915097,0.5620212740272827,0.5555315056943089,0.5490252093358141,0.5425042296223136
5,0.6858724031344715,1.0,0.6858724031344715,0.5352324971677547,0.5342848580136186,0.5284093247744569,0.522512932668739,0.5165973898239197,0.5106643990212002,0.5047156570620017,0.4987528541392427
6,0.8139670935962479,1.0,0.8139670935962479,0.7615729581656333,0.7446365039793392,0.7361355843302776,0.7276108899639652,0.7190648555761456,0.7104999059262114,0.7019184549429222,0.6933229048378083
7,0.741337148576756,1.0,0.741337148576756,0.6233533884659779,0.648202272093108,0.6408620009326946,0.6335000630396569,0.6261185668518371,0.6187196126159995,0.6113052916117913,0.6038776853822146
8,0.8496728107696003,1.0,0.8496728107696003,0.7813144786553917,0.802662927727738,0.7933480947036198,0.7840102565618143,0.7746520632099657,0.7652761526182463,0.7558851498502158,0.7464816661024556
9,0.6417383885557055,1.0,0.6417383885557055,0.5400756047471813,0.5342298771180715,0.5283173928821303,0.5223846997481898,0.5164335120269414,0.5104655383800784,0.5044824811855314,0.4984860359076311
