,C♯_z,C_z,C♯_z,E_z,F_z,F♯_z,G_z,G♯_z,A_z,A♯_z,B_z
0,0.7423047690714126,0.7502001076382411,0.7423047690714126,0.5648797729143942,0.5447850536516223,0.4826415910361405,0.4689543552644792,0.5325276069326224,0.7415802482267506,0.8552709106106936,1.0
1,0.8558427357802488,0.8531885929428499,0.8558427357802488,0.7528470668424796,0.6016791944476932,0.5596075624317635,0.5188998543612523,0.5830902893549195,0.7684026171361086,0.9384810391207504,0.9815222463289156
2,0.7510477496067537,0.8497838223741678,0.7510477496067537,0.5327344593742216,0.5243998036969347,0.4763974282903709,0.4481324101549824,0.4935877476428325,0.6817534517581114,0.913051145440118,1.0
3,0.6883250956222932,0.747486494554869,0.6883250956222932,0.5435664210013725,0.5358612175165635,0.4761707050320957,0.4850262262532975,0.5600949050275569,0.7141233534335969,0.8486339746022091,1.0
4,0.8796931387502028,0.8019789984293552,0.8796931387502028,0.5309581656299539,0.4059409236038113,0.454040670266119,0.4544066131681927,0.5289250111711794,0.7658738092350116,0.8377744914532981,0.999275927774812
5,0.8474578191769702,0.859060581833933,0.8474578191769702,0.6684528045376297,0.5113520902369442,0.5065121903434336,0.524321757001447,0.6320657252038346,0.7902202584171848,0.901893363739204,1.0
6,0.8280150194946353,0.7753891445523378,0.8280150194946353,0.5484651183094056,0.4784477483485292,0.5464050507241885,0.4832895807845938,0.5619073169302378,0.7646544430104752,0.9041689532612628,0.9769582183569184
7,0.9544095622859852,0.9115282846541388,0.9544095622859852,0.6430404851120852,0.5285270249518288,0.5182421471463713,0.5036100908887856,0.5765469050983792,0.7454236933258591,0.8484811784552099,0.9590691460073584
8,0.8831576552099003,0.8782133802175638,0.8831576552099003,0.6359194862059018,0.4772934622628115,0.4701371212787338,0.425824388499219,0.5249754124395559,0.7280023742679265,0.8805274629421925,0.8981389665362457
9,0.8759214989177907,0.7944225148663109,0.8759214989177907,0.6414286247754957,0.5102529891340841,0.546758866894659,0.4808496081518013,0.5651421477121555,0.7516086162809134,0.8936996333443757,0.9947819887813276
10,0.8245001935482152,0.8569086204489363,0.8245001935482152,0.6006606737506651,0.5082857453100643,0.528993044879218,0.5613700995017074,0.642917412169953,0.8306804454661969,0.8761221872749344,1.0
11,0.8695756609615465,0.8357031502456028,0.8695756609615465,0.598066920910992,0.5350529807835781,0.5863752856871783,0.5165065325977877,0.5663810668093777,0.7163762242058804,0.8893408077472195,0.9492817728390672
12,0.8164067523294462,0.7834960086893356,0.8164067523294462,0.6056488364058131,0.5378765373656259,0.4926340468485897,0.5217282653006259,0.5444099116242135,0.7234847001806634,0.8639479452436913,1.0
13,0.7851780964875866,0.7904036707240364,0.7851780964875866,0.5886840405742033,0.5033251265817409,0.5301691489886053,0.539051988958163,0.532529901940704,0.7615215428528849,0.8450383081652485,0.9786137383668024
14,0.8913780964633444,0.8176340867317206,0.8913780964633444,0.5577517564257417,0.4911032376054868,0.5211684359024105,0.5218443908463529,0.5633090771725437,0.7214074480579223,0.8513636141455967,0.9898731872660916
15,0.8348896318839708,0.8284850801367543,0.8348896318839708,0.6235225773158746,0.5400043759636804,0.530854536210222,0.5304734135248294,0.567909807969534,0.7630804886922175,0.917801735564795,0.9993762319741358
16,0.9443510111210008,0.8777909629061241,0.9443510111210008,0.5888601719357156,0.5352207371211339,0.4966625740792927,0.4830853478158357,0.5404465328441218,0.7380006076921873,0.8741474784073846,0.9713261114690872
17,0.8982105947269127,0.8098244663462072,0.8982105947269127,0.5438435775507391,0.5124079716745916,0.4661185789319875,0.4735225527884366,0.4784880500943003,0.7056033988230239,0.9095449124808188,0.9274729708524412
18,0.8968039084433318,0.863303996578431,0.8968039084433318,0.5750598721549962,0.5604721446314057,0.5366073580846605,0.581411133391259,0.6062863807204497,0.7902308513284978,0.9674281470254824,0.9895914918255384
19,0.8510730317620361,0.8038093816274268,0.8510730317620361,0.6238053830134551,0.4754980393476115,0.4729709302149065,0.4706595368915532,0.5118049874039614,0.7256699860530893,0.8258943892118692,1.0
20,0.8225064500123042,0.8036932804541531,0.8225064500123042,0.5967982087674965,0.5276022470149881,0.5421011373380858,0.5334066276379237,0.5363244407547604,0.6791888084429164,0.7974011689558349,1.0
21,0.8449945251070249,0.8290843606612083,0.8449945251070249,0.5631768309655396,0.4435072881813604,0.504277762748038,0.5443968919780446,0.621123630625202,0.7204680757126113,0.7963163834024289,1.0
22,0.7988428968917137,0.7740156162225187,0.7988428968917137,0.5339278199404228,0.5185053074177908,0.5303569159596181,0.4717835559286285,0.5440767671174868,0.671999662503287,0.8624010347626302,0.9954195051377068
23,0.8627012020643093,0.8462637616374941,0.8627012020643093,0.5810528595824005,0.5291058780120727,0.5406317540532005,0.5022056947199992,0.6111044954603625,0.6425336689834306,0.8166148187875141,0.9984167733085968
24,0.8904110492820765,0.8878614621886082,0.8904110492820765,0.61399357114433,0.5343475425474614,0.5187373793130927,0.5342515147738077,0.5783203954403837,0.6879233641855854,0.8793429062912675,0.9824443637111168
25,0.9379081454110012,0.8613414974041064,0.9379081454110012,0.6921737108854299,0.5084158470080503,0.5494138775234453,0.5436172512659343,0.5757887297631702,0.7432484985895678,0.9538151438907722,0.9484816806935544
26,0.841280594288235,0.7803152895057104,0.841280594288235,0.6002172425763046,0.5406298548765373,0.5313565058714902,0.4951091093769892,0.5778976270201157,0.7819650791242876,0.9642734630325844,0.989802784235564
27,0.884132155307764,0.8069534183602031,0.884132155307764,0.5348937120614243,0.5039530365063195,0.477854706936818,0.4474560583845364,0.5790285112142128,0.7397178562436414,0.8946319266786328,0.9807991467108388
28,0.8674181919769349,0.8133956995450607,0.8674181919769349,0.5314725993992486,0.5183085151258372,0.5115015972075441,0.5217765643124667,0.6154882610684204,0.7098563972525446,0.8579451704455079,0.9686230900949844
29,0.7426650536227276,0.7688417202756092,0.7426650536227276,0.5744894479915786,0.4289933204179437,0.4831309426110021,0.4972453858321407,0.549212585670407,0.7013637788956798,0.8839906930676746,0.9935071373699048
30,0.9077759832243714,0.8500095067912614,0.9077759832243714,0.6283008729188234,0.5079933407894884,0.5195983659420192,0.5517868698137706,0.5531078143750765,0.6830629618070101,0.8545078088344584,0.9855237839109956
31,0.8469635036530971,0.8328858525033214,0.8469635036530971,0.6648406023290512,0.5815896651079565,0.5474019266795851,0.5654634037015414,0.5996027233635205,0.6941407245142082,0.8905042334074759,1.0
32,0.8966877824417265,0.926692488284162,0.8966877824417265,0.6412214164947347,0.5853513376930751,0.598264749390397,0.6123772831702938,0.6062801770012566,0.7491221901917592,0.8249893321250683,0.9891541284942128
33,0.9332014829841584,0.840884836345825,0.9332014829841584,0.6325416228336564,0.5809142531774604,0.5668254798986638,0.5091202541417029,0.5260694926011693,0.7286726823674771,0.9095443810614524,0.9981580336433606
34,0.9006942501652354,0.8625714432969575,0.9006942501652354,0.6198429692326303,0.571152519894757,0.559193591758157,0.602937050132606,0.6594077381252493,0.7062105727892632,0.8653615169630821,0.9817127403376948
35,0.8629292735166212,0.9331102428657694,0.8629292735166212,0.6243990687097984,0.5362528343365764,0.5892866019742552,0.5937263209096686,0.6183424385585843,0.7065035469533113,0.8752335519411795,0.964990348224569
36,0.9459111065568796,0.8814272353886894,0.9459111065568796,0.6508986582477866,0.6033073163427783,0.6067217863336271,0.5397672539604641,0.6363307425175619,0.7414982578398766,0.8753563102880557,0.9319374281100528
37,0.7905346273147806,0.8985897092604542,0.7905346273147806,0.5845901347327793,0.550451774681418,0.5392040075229397,0.5505446616395374,0.5889399910670113,0.70895024448359,0.8444354777202078,0.9984224695930438
38,0.8672590935138506,0.768911575942301,0.8672590935138506,0.6029294223750915,0.533128524943914,0.5365045615989474,0.4787636794426259,0.5250198015438686,0.6381796798218848,0.8038656123267357,1.0
39,0.8311843010042713,0.8481815091819601,0.8311843010042713,0.6696201627374835,0.5605095375237643,0.5279378423477138,0.4579337422338463,0.5553944329192905,0.6966706351856526,0.9323544106806002,0.982791450636593
40,0.8884747248172244,0.8214532985206752,0.8884747248172244,0.5996925968623982,0.5522742022693007,0.521875860017939,0.510309138323517,0.6102848991724062,0.6532498534644154,0.8467611187218372,0.9548972314150208
41,0.9697347071735934,0.7797277567068023,0.9697347071735934,0.7334541064697224,0.6323315811264524,0.5865001158238928,0.6136541450220339,0.5863670706828555,0.6674466655198229,0.8180227978332191,0.9944437888360612
42,0.4112986308469373,0.4504424861404876,0.4112986308469373,0.5165030997601088,0.5444547077992391,0.5874407308696189,0.5904795253096977,0.6602613966295315,0.8759003970581186,0.7978039308370789,0.7684984917883736
43,0.3835485350040407,0.4719815650254338,0.3835485350040407,0.8356381422125735,0.7901896886230403,0.6955081366309904,0.707722161949464,0.7027319717114316,0.7080885658864217,0.6596918217179618,0.7509975484204351
44,0.5242731985135202,0.6152897187078675,0.5242731985135202,0.5377078283214943,0.5567149081201934,0.6093481328072665,0.5813312509980312,0.7287679055906225,0.7838950173650666,0.885823223682098,0.9556168610187727
