,tempogram_y0,tempogram_y2,tempogram_y0,tempogram_y2,tempogram_y3,tempogram_y4,tempogram_y5,tempogram_y6,tempogram_y8,tempogram_y9,tempogram_y10,tempogram_y11
0,1.0,0.5628949721482811,1.0,0.5628949721482811,0.5237416019860007,0.5179734243659303,0.5171295875917866,0.5114736238004199,0.5001011887395983,0.4943880085326411,0.4886590384267225,0.4829159098051123
1,1.0,0.6729069090037021,1.0,0.6729069090037021,0.6639913268278406,0.6561296620135223,0.6307821491933261,0.6237626759890962,0.6096560147478884,0.6025728824490346,0.5954725738389325,0.5883570971391497
2,1.0,0.5546423223178762,1.0,0.5546423223178762,0.5275955190181972,0.5106874012168446,0.4906953805215961,0.4853801104368733,0.4746894656312856,0.4693171968248789,0.4639290266858009,0.4585264957970121
3,1.0,0.6929564926848419,1.0,0.6929564926848419,0.6653951776635506,0.6340991272415896,0.6129667718324512,0.6062027805512613,0.5926060192705819,0.5857771716023363,0.5789306162406701,0.5720682964214125
4,1.0,0.6907933799856256,1.0,0.6907933799856256,0.6799789356070728,0.6628001660909254,0.6554850606535375,0.6481413826557574,0.6333862234434706,0.6259789730485844,0.6185547491733484,0.6111156458091481
5,1.0,0.6115134376284449,1.0,0.6115134376284449,0.597534968755256,0.596829374221152,0.5957593845928835,0.5891257262232227,0.5757947448486452,0.5691012528554302,0.5623916355951288,0.5556677899087487
6,1.0,0.7410795176619644,1.0,0.7410795176619644,0.7419462227999294,0.7421842260621045,0.7286537531054403,0.7203683249990117,0.7037283591778394,0.695378565549927,0.6870120441968867,0.6786311409014832
7,1.0,0.5989598899461259,1.0,0.5989598899461259,0.5681261908685254,0.5559771120111748,0.538657100899928,0.5327699006938984,0.5209322033378683,0.5149851333617371,0.509021524847583,0.5030430767479781
8,1.0,0.7279912240348877,1.0,0.7279912240348877,0.7157953600991654,0.7141543564711322,0.7096992249785171,0.7016580843980933,0.6855070363580088,0.6774017397070602,0.6692796526822454,0.6611430556812885
9,1.0,0.7286854671741841,1.0,0.7286854671741841,0.7137422915956033,0.7100712232387846,0.7073299520351304,0.6993113484990482,0.6832058297665319,0.6751235113912052,0.6670245357257563,0.6589111761695189
