,lvl0_x0,lvl0_x1,lvl0_x2,lvl0_x3,lvl0_x4,lvl0_x5,lvl0_x6,lvl0_x7,lvl0_x8,lvl0_x9,lvl0_x10,lvl0_x11,lvl0_x12,lvl0_x13,lvl0_x14,lvl0_x15,lvl0_x16,lvl0_x17,lvl0_x18,lvl0_x19,lvl0_x20,lvl0_x21,lvl0_x22,lvl0_x23,lvl0_x24,lvl0_x25,lvl0_x26,lvl0_x27,lvl0_x28,lvl0_x29,lvl0_x30,lvl0_x31,lvl0_x32,lvl0_x33,lvl0_x34,lvl0_x35,lvl0_x36,lvl0_x37,lvl0_x38,lvl0_x39,lvl0_x40,lvl0_x41,lvl0_x42,lvl0_x43,lvl0_x44,lvl0_x45,lvl0_x46,lvl0_x47
0,-0.5030783459091093,-0.5084929958437316,-0.4951242992054971,-0.4616860835412372,-0.3275729405527314,-0.46350530807713597,-0.3193573037158073,-0.2900699998281253,-0.3722143679527331,-0.6708039858925606,-0.6259888155512144,-0.5732578722088204,-0.523491091009611,-0.4632876578987061,-0.4830571842617011,-0.42148120940256956,-0.5114443087292405,-0.41473710358207344,-0.2644924555068839,-0.3081423347017478,-0.3657093918953891,-0.30106160649203656,-0.20841102831347266,-0.26656814088383823,-0.22824802959720034,-0.27952336290179364,-0.24243609424806162,-0.3712353562875885,-0.24976888305274791,-0.2782865996225176,-0.23263547882418936,-0.21612473919104003,-0.2240902175184353,-0.2550375047314398,-0.2971340551822787,-0.16293267522856045,-0.19111076032745553,-0.17702556382568088,-0.25617877904625325,-0.20242171380870583,-0.25389935775477723,-0.22203721099458643,-0.17306689976633438,-0.2626278491780851,-0.4500883155914352,-0.4108416403862498,-0.40260082218426935,-0.40355966162173285
0,-0.3370879873440265,-0.35865835345987773,-0.3442122632907552,-0.29717448063771795,-0.19352827654666774,-0.34672921750640906,-0.17754424431085286,-0.20189634024777198,-0.26334121871769595,-0.28731906551501785,-0.24175951113786517,-0.2792569680871784,-0.32502149553526594,-0.1912378794883119,-0.17418015197050293,-0.21199940167091838,-0.3501567006620686,-0.21557730664819075,-0.17041157133088403,-0.21283935780819244,-0.26727697032005276,-0.22391666198669635,-0.2691350107398816,-0.36844768205838213,-0.30161129561966105,-0.17474557672092828,-0.15516456972368126,-0.31866709284651895,-0.21708885030344052,-0.19656211000769205,-0.22691735904093177,-0.21806053097798272,-0.31396142463553633,-0.28287251494273774,-0.3885747960011818,-0.2850748991761206,-0.1912138381949125,-0.20406274946830788,-0.2929576269054756,-0.23863727389780875,-0.20099196616103654,-0.2217090939814572,-0.27636567218929864,-0.34645466052978824,-0.466204139805111,-0.42905074649445396,-0.4286278969471725,-0.4361774264255419
0,-0.38227107677697436,-0.40904410381246115,-0.39705452183731554,-0.3539099736834018,-0.2973955663066308,-0.38971184167973866,-0.23405543188756342,-0.1945036974502496,-0.23122276649636353,-0.2988952381708088,-0.2627702952078236,-0.18881010889792119,-0.23834434319615563,-0.26354081025073667,-0.32187520426362465,-0.29926344746077826,-0.38595771969156994,-0.23405579732798998,-0.18252600768116567,-0.23449878887661518,-0.2725590809273047,-0.2163610153922901,-0.19992540248084478,-0.24489625936418533,-0.2629892411905113,-0.34609638635829837,-0.33236887057287906,-0.3927657306161007,-0.15925365512426948,-0.23835176010835513,-0.3107456326863582,-0.2839072130507314,-0.25864462593363086,-0.1939673153882743,-0.37353665449777057,-0.32414984180695294,-0.3506077237743142,-0.405738505636448,-0.2967432378332531,-0.21129659630337527,-0.20161508263412858,-0.3396518397724871,-0.2464844326763809,-0.1916879533407891,-0.01851576785359523,-0.057546058156455214,-0.06415825687021012,-0.05970419407147917
0,0.07116164174920304,0.08932005239882261,0.06408053064444813,-0.037265244409934735,-0.3535742876181289,-0.28981982034756787,-0.39748280813546755,-0.3658789018562711,-0.3828272790454171,-0.20468982182031123,-0.19688617698550953,-0.281805174537259,-0.3022376565152832,-0.21292782223583614,-0.2620898529860208,-0.40154508628041036,-0.3711104698994252,-0.40190096198151165,-0.4045174550628249,-0.3857956068491122,-0.1987099364827217,-0.2247647217684381,-0.3249129968152214,-0.2689184491198332,-0.24115655874654293,-0.2006427805982619,-0.3268301736182685,-0.31521280121374756,-0.3656481188611479,-0.45440885439217693,-0.41204186543748855,-0.3503856482256859,-0.26177991427268493,-0.3146147314272703,-0.2608486087657751,-0.3429642352873027,-0.32338223209743644,-0.3322635925559017,-0.3982609788427065,-0.5047136420005578,-0.5283859952358136,-0.533006899017338,-0.5276462858378025,-0.5991302329765265,-0.7100102317192062,-0.6817221335194102,-0.6778235131529786,-0.6829508382920343
0,-0.7901807920969444,-0.790977600284665,-0.7781673831766913,-0.7238825837449426,-0.5098300590298126,-0.5865149163337507,-0.2833250918259913,-0.3361579115522,-0.2682632250944898,-0.3185043845712632,-0.33793893012547194,-0.26525354002682966,-0.36054492843196934,-0.34821801858316304,-0.4776694311430808,-0.3947013074575072,-0.342626213002554,-0.27506904107883673,-0.2503055252619049,-0.2847411718032292,-0.2728971949574799,-0.31243475376471336,-0.290346206398165,-0.37623794061102933,-0.43912852557408144,-0.3925702286062635,-0.3231829946743413,-0.15571081708422008,-0.2536515537196076,-0.17066341217914796,-0.226147145139423,-0.2707919270424736,-0.23166138603067626,-0.29705794684704023,-0.3162256404276747,-0.43097036028808744,-0.30849539037699536,-0.2263401902535041,-0.2318358629655021,-0.1645046999261174,-0.2393335307670027,-0.20104701231149913,-0.2392661929880969,-0.20678613794859882,-0.30760627696266984,-0.29955727890432254,-0.2911045456046008,-0.28623093290122936
0,-0.34003466632068313,-0.3437984277378822,-0.3371246852167481,-0.32738123273875186,-0.28165412138225127,-0.40817907796792435,-0.32742192124807284,-0.21457802882014648,-0.16727937949358798,-0.25888790949326673,-0.21826303693332,-0.20395312388448655,-0.2607648185546151,-0.20423042106001793,-0.2515275083678909,-0.3514511581561042,-0.39703581529784204,-0.3403818213921356,-0.186149424898121,-0.2730540045084373,-0.18754710192182725,-0.25176792807300225,-0.22916935660177717,-0.20827234968480599,-0.25714249037499426,-0.2917594201106659,-0.404104436539636,-0.25538090238336236,-0.16195747023920387,-0.259154257371554,-0.25959405577285155,-0.24570534378922773,-0.19017405632700604,-0.2820037509979302,-0.23064356193803992,-0.27244350815575735,-0.34642207389792246,-0.2687882112075381,-0.2081403434646822,-0.16016197624317277,-0.30520481377791725,-0.2080537059292095,-0.18584554208693677,-0.22000047049907137,-0.30483564848667466,-0.28919762228799023,-0.28399850908080576,-0.2858337676136193
0,-0.40484058647464644,-0.40874180343177885,-0.4011647921960521,-0.37463194630248425,-0.2865505674199288,-0.3093675407908584,-0.3314521112805262,-0.3505251081237178,-0.22311517500797592,-0.17757646269382224,-0.17385989472511718,-0.2873269687691337,-0.19056785041714044,-0.1855772641843757,-0.23524353503621068,-0.24812553629948889,-0.2846436983020477,-0.3016876138621866,-0.4047269803857171,-0.38149291063288404,-0.39060406487271737,-0.37634310151942674,-0.3941973429452141,-0.3350272658088186,-0.3603854639041133,-0.41342178170046184,-0.40735194257567664,-0.48940358319125843,-0.5132478579298734,-0.615946383054749,-0.5613115937921033,-0.5758584606316635,-0.36842079255018434,-0.13847746589179086,-0.13809302382138286,-0.09533210686091778,-0.21488258169960725,-0.11569102761854111,-0.20962272322468894,-0.3154442235399094,-0.2764830994804456,-0.22526618745586605,-0.08788619464495986,-0.14862818769981243,-0.10378219622582464,-0.10678610654321816,-0.1102979022095445,-0.11171192900399414
0,0.035018795621401644,0.05315111213993377,0.047424793835300134,0.006213075102559544,-0.0524730374685801,-0.03282676110589844,-0.14170734522688555,-0.12657093139313616,-0.19417643444013316,-0.22690894131981623,-0.31468425388315335,-0.283657378389213,-0.2797127786919174,-0.20067362051017637,-0.049291927857502305,-0.09114473039096277,-0.09166097180778582,-0.1607398611578361,-0.0935361693691864,-0.12102751012406085,-0.21046036615266528,-0.19963721724135716,-0.19782624781046373,-0.18901394213261088,-0.1684033510153106,-0.06332647999032931,-0.11856441986495604,-0.17754937064892246,-0.125224582171,-0.13513549779763118,-0.12423339286716342,-0.202625822253447,-0.15083443942776056,-0.2202460267419564,-0.23169385046880256,-0.11992015961563557,-0.1111665800130007,-0.1259473945994048,-0.1920162481331223,-0.10758683542957947,-0.11133505851277639,-0.20370271131938397,-0.16608298600314414,-0.27668681114077304,-0.30953794811919444,-0.2845403210969246,-0.28890727555962625,-0.29834306731386817
0,-0.27761435532840256,-0.30431793013723213,-0.29536356913681266,-0.24742561658321124,-0.1944761355414153,-0.22937434890963748,-0.06447472068126357,-0.08262953038043733,-0.12597625233666682,-0.10970761802557794,-0.09917801402804242,-0.0654870251767055,-0.1950057027998929,-0.17006077414954796,-0.1929092864394885,-0.23389709323636973,-0.15072181811612284,-0.06558281017985247,-0.06109166854114893,-0.14396223568367797,-0.0573220945371979,-0.08662458152724106,-0.09380469052760027,-0.10716802951737221,-0.121007872965399,-0.1659973977833153,-0.2255605221734575,-0.22077400182460127,-0.229076391823209,-0.19268780566985524,-0.22694671960386245,-0.00763271103497863,-0.05611709505894444,-0.0917298078139212,-0.0718848659479738,-0.07775518283341497,-0.17791891549759167,-0.3206858447543096,-0.2998509247496413,-0.36962030897660675,-0.428314292168978,-0.3474730443495547,-0.3406042341330667,-0.15908039561578297,-0.11790512476497378,-0.14437211561607952,-0.14072596444795143,-0.13758777141595172
0,-0.20485932456280645,-0.1892291790708532,-0.188643886808468,-0.1921040718064725,-0.12359731120988351,0.014983097178314562,0.0342836346403935,-0.07396684589948363,0.02699096166804369,-0.04808057344321212,-0.07677236465464685,-0.05735257904074355,-0.10197556851208152,-0.08507387526586656,-0.2209285188989856,-0.16052532686730137,-0.20590716032058162,-0.21207721992879588,-0.13081406055388875,-0.07225204869702219,-0.06564272710686414,-0.17977912444486546,-0.08943145894931244,-0.07874746415359386,-0.07134381543011906,-0.13750930478833417,-0.16753076092866995,-0.1751219585959958,-0.25381385232929965,-0.220565509310141,-0.12289231301181572,-0.02587684341818365,-0.01139199197657084,0.0538415393004699,-0.0575732685119509,-0.06769590560417657,-0.0658214864244533,-0.14956701660297228,-0.11888288813480298,-0.19860064380551745,-0.12611119214352817,-0.14795481705570218,-0.3769203030504962,-0.45194111772152756,-0.4538793487641847,-0.5095268749875267,-0.481736511956612,-0.4441826244916776
