,zcr_x0,zcr_y0,zcr_z0,zcr_x1,zcr_y1,zcr_z1,zcr_x2,zcr_y2,zcr_z2,zcr_x3,zcr_y3,zcr_z3,zcr_x4,zcr_y4,zcr_z4,zcr_x5,zcr_y5,zcr_z5,#ofcrossing_x,#ofcrossing_y,#ofcrossing_z
2145,0.001953125,0.009765625,0.0224609375,0.029296875,0.02734375,0.01953125,0.013671875,0.015625,0.01953125,0.0107421875,0.0107421875,0.0087890625,0.0068359375,0.0068359375,0.0068359375,0.0,0.0,0.0,61.0,51.0,15.0
2146,0.005859375,0.017578125,0.0400390625,0.0498046875,0.046875,0.03515625,0.01171875,0.0361328125,0.0546875,0.068359375,0.05859375,0.0341796875,0.0009765625,0.00390625,0.0048828125,0.005859375,0.0048828125,0.001953125,109.0,145.0,13.0
2147,0.03515625,0.03515625,0.0390625,0.01513671875,0.00830078125,0.00830078125,0.0869140625,0.11669921875,0.1474609375,0.10205078125,0.06103515625,0.03173828125,0.04638671875,0.05810546875,0.0791015625,0.06494140625,0.03271484375,0.02099609375,90.0,305.0,163.0
2148,0.01513671875,0.01611328125,0.02001953125,0.04345703125,0.03125,0.0302734375,0.017578125,0.0205078125,0.0205078125,0.0185546875,0.0068359375,0.00390625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0,0.0,96.0,51.0,3.0
2149,0.013671875,0.0283203125,0.0283203125,0.0341796875,0.02734375,0.0126953125,0.0166015625,0.04931640625,0.09228515625,0.1416015625,0.1318359375,0.09912109375,0.0068359375,0.0205078125,0.04541015625,0.09765625,0.091796875,0.078125,85.0,305.0,203.0
2150,0.02392578125,0.03466796875,0.03466796875,0.02392578125,0.0107421875,0.0,0.07958984375,0.09375,0.119140625,0.0869140625,0.06103515625,0.046875,0.06787109375,0.0732421875,0.087890625,0.05712890625,0.02783203125,0.0224609375,72.0,289.0,197.0
2151,0.0,0.0,0.0009765625,0.0146484375,0.0146484375,0.0146484375,0.05322265625,0.10986328125,0.15673828125,0.173828125,0.1513671875,0.0947265625,0.0078125,0.029296875,0.05126953125,0.0908203125,0.087890625,0.06640625,31.0,420.0,197.0
2152,0.06396484375,0.111328125,0.1318359375,0.1689453125,0.13720703125,0.08984375,0.0625,0.109375,0.1396484375,0.13916015625,0.109375,0.0625,0.03955078125,0.0751953125,0.09375,0.1044921875,0.08154296875,0.04541015625,413.0,353.0,249.0
2153,0.09765625,0.109375,0.12109375,0.0869140625,0.029296875,0.017578125,0.02197265625,0.02490234375,0.02880859375,0.015625,0.0078125,0.0048828125,0.0078125,0.009765625,0.009765625,0.005859375,0.001953125,0.0,261.0,62.0,21.0
2154,0.00732421875,0.00732421875,0.00732421875,0.00341796875,0.0,0.0,0.00732421875,0.00732421875,0.02294921875,0.03759765625,0.03466796875,0.03466796875,0.00830078125,0.00830078125,0.01025390625,0.0029296875,0.0029296875,0.0029296875,16.0,87.0,24.0
2155,0.0,0.0,0.021484375,0.0224609375,0.0224609375,0.0224609375,0.08837890625,0.08837890625,0.08837890625,0.0419921875,0.0068359375,0.0068359375,0.0224609375,0.0224609375,0.0224609375,0.0107421875,0.0,0.0,47.0,196.0,47.0
2156,0.0234375,0.0546875,0.0576171875,0.08203125,0.05859375,0.02734375,0.0078125,0.013671875,0.0205078125,0.037109375,0.0322265625,0.0263671875,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,0.0009765625,169.0,83.0,5.0
2157,0.04248046875,0.0634765625,0.0849609375,0.08251953125,0.0673828125,0.04638671875,0.03515625,0.0478515625,0.05859375,0.0517578125,0.0361328125,0.0234375,0.0048828125,0.0048828125,0.005859375,0.0009765625,0.0009765625,0.0009765625,226.0,147.0,13.0
2158,0.07373046875,0.115234375,0.16455078125,0.14453125,0.091796875,0.05029296875,0.0419921875,0.0732421875,0.1083984375,0.12890625,0.1005859375,0.0693359375,0.0078125,0.0146484375,0.0185546875,0.0263671875,0.01953125,0.0126953125,340.0,293.0,57.0
